@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
257,'2018/06/18 16:36:50:533',6,1,0,0,0,0,4,0,0,0,0
258,'2018/06/18 16:36:50:583',6,1,0,0,0,0,4,0,0,0,0
259,'2018/06/18 16:36:50:633',6,1,0,0,0,0,4,0,0,0,0
260,'2018/06/18 16:36:50:683',6,1,0,0,0,0,4,0,0,0,0
261,'2018/06/18 16:36:50:733',6,1,0,0,0,0,4,0,0,0,0
262,'2018/06/18 16:36:50:783',6,1,0,0,0,0,4,0,0,0,0
263,'2018/06/18 16:36:50:833',6,1,0,0,0,0,4,0,0,0,0
264,'2018/06/18 16:36:50:883',6,1,0,0,0,0,4,0,0,0,0
265,'2018/06/18 16:36:50:933',6,1,0,0,0,0,4,0,0,0,0
266,'2018/06/18 16:36:50:983',6,1,0,0,0,0,4,0,0,0,0
267,'2018/06/18 16:36:51:033',6,1,0,0,0,0,4,0,0,0,0
268,'2018/06/18 16:36:51:083',6,1,0,0,0,0,4,0,0,0,0
269,'2018/06/18 16:36:51:133',6,1,0,0,0,0,4,0,0,0,0
270,'2018/06/18 16:36:51:184',6,1,0,0,0,0,4,0,0,0,0
271,'2018/06/18 16:36:51:234',6,1,0,0,0,0,4,0,0,0,0
272,'2018/06/18 16:36:51:284',6,1,0,0,0,0,4,0,0,0,0
273,'2018/06/18 16:36:51:334',6,1,0,0,0,0,4,0,0,0,0
274,'2018/06/18 16:36:51:384',6,1,0,0,0,0,4,0,0,0,0
275,'2018/06/18 16:36:51:434',6,1,0,0,0,0,4,0,0,0,0
276,'2018/06/18 16:36:51:484',6,1,0,0,0,0,4,0,0,0,0
277,'2018/06/18 16:36:51:534',6,1,0,0,0,0,4,0,0,0,0
278,'2018/06/18 16:36:51:584',6,1,0,0,0,0,4,0,0,0,0
279,'2018/06/18 16:36:51:634',6,1,0,0,0,0,4,0,0,0,0
280,'2018/06/18 16:36:51:684',6,1,0,0,0,0,4,0,0,0,0
281,'2018/06/18 16:36:51:734',6,1,0,0,0,0,4,0,0,0,0
282,'2018/06/18 16:36:51:784',6,1,0,0,0,0,4,0,0,0,0
283,'2018/06/18 16:36:51:834',6,1,0,0,0,0,4,0,0,0,0
284,'2018/06/18 16:36:51:884',6,1,0,0,0,0,4,0,0,0,0
285,'2018/06/18 16:36:51:934',6,1,0,0,0,0,4,0,0,0,0
286,'2018/06/18 16:36:51:984',6,1,0,0,0,0,4,0,0,0,0
287,'2018/06/18 16:36:52:034',6,1,0,0,0,0,4,0,0,0,0
288,'2018/06/18 16:36:52:085',6,1,0,0,0,0,4,0,0,0,0
289,'2018/06/18 16:36:52:135',6,1,0,0,0,0,4,0,0,0,0
290,'2018/06/18 16:36:52:185',6,1,0,0,0,0,4,0,0,0,0
291,'2018/06/18 16:36:52:235',6,1,0,0,0,0,4,0,0,0,0
292,'2018/06/18 16:36:52:285',6,1,0,0,0,0,4,0,0,0,0
293,'2018/06/18 16:36:52:336',6,1,0,0,0,0,4,0,0,0,0
294,'2018/06/18 16:36:52:386',6,1,0,0,0,0,4,0,0,0,0
295,'2018/06/18 16:36:52:436',6,1,0,0,0,0,4,0,0,0,0
296,'2018/06/18 16:36:52:486',6,1,0,0,0,0,4,0,0,0,0
297,'2018/06/18 16:36:52:536',6,1,0,0,0,0,4,0,0,0,0
298,'2018/06/18 16:36:52:587',6,1,0,0,0,0,4,0,0,0,0
299,'2018/06/18 16:36:52:637',6,1,0,0,0,0,4,0,0,0,0
300,'2018/06/18 16:36:52:687',6,1,0,0,0,0,4,0,0,0,0
301,'2018/06/18 16:36:52:737',6,1,0,0,0,0,4,0,0,0,0
302,'2018/06/18 16:36:52:787',6,1,0,0,0,0,4,0,0,0,0
303,'2018/06/18 16:36:52:837',6,1,0,0,0,0,4,0,0,0,0
304,'2018/06/18 16:36:52:887',6,1,0,0,0,0,4,0,0,0,0
305,'2018/06/18 16:36:52:937',6,1,0,0,0,0,4,0,0,0,0
306,'2018/06/18 16:36:52:987',6,1,0,0,0,0,4,0,0,0,0
307,'2018/06/18 16:36:53:037',6,1,0,0,0,0,4,0,0,0,0
308,'2018/06/18 16:36:53:087',6,1,0,0,0,0,4,0,0,0,0
309,'2018/06/18 16:36:53:137',6,1,0,0,0,0,4,0,0,0,0
310,'2018/06/18 16:36:53:187',6,1,0,0,0,0,4,0,0,0,0
311,'2018/06/18 16:36:53:237',6,1,0,0,0,0,4,0,0,0,0
312,'2018/06/18 16:36:53:287',6,1,0,0,0,0,4,0,0,0,0
313,'2018/06/18 16:36:53:337',6,1,0,0,0,0,4,0,0,0,0
314,'2018/06/18 16:36:53:387',6,1,0,0,0,0,4,0,0,0,0
315,'2018/06/18 16:37:04:765',7,0,1,0,0,0,0,2,0,0,0
316,'2018/06/18 16:37:04:815',7,0,1,0,0,0,0,2,0,0,0
317,'2018/06/18 16:37:04:865',7,0,1,0,0,0,0,2,0,0,0
318,'2018/06/18 16:37:04:915',7,0,1,0,0,0,0,2,0,0,0
319,'2018/06/18 16:37:04:965',7,0,1,0,0,0,0,2,0,0,0
320,'2018/06/18 16:37:05:015',7,0,1,0,0,0,0,2,0,0,0
321,'2018/06/18 16:37:05:065',7,0,1,0,0,0,0,2,0,0,0
322,'2018/06/18 16:37:05:115',7,0,1,0,0,0,0,2,0,0,0
323,'2018/06/18 16:37:05:165',7,0,1,0,0,0,0,2,0,0,0
324,'2018/06/18 16:37:05:215',7,0,1,0,0,0,0,2,0,0,0
325,'2018/06/18 16:37:05:266',7,0,1,0,0,0,0,2,0,0,0
326,'2018/06/18 16:37:05:316',7,0,1,0,0,0,0,2,0,0,0
327,'2018/06/18 16:37:05:366',7,0,1,0,0,0,0,2,0,0,0
328,'2018/06/18 16:37:05:416',7,0,1,0,0,0,0,2,0,0,0
329,'2018/06/18 16:37:05:466',7,0,1,0,0,0,0,2,0,0,0
330,'2018/06/18 16:37:05:516',7,0,1,0,0,0,0,2,0,0,0
331,'2018/06/18 16:37:05:566',7,0,1,0,0,0,0,2,0,0,0
332,'2018/06/18 16:37:05:616',7,0,1,0,0,0,0,2,0,0,0
333,'2018/06/18 16:37:05:666',7,0,1,0,0,0,0,2,0,0,0
334,'2018/06/18 16:37:05:716',7,0,1,0,0,0,0,2,0,0,0
335,'2018/06/18 16:37:05:766',7,0,1,0,0,0,0,2,0,0,0
336,'2018/06/18 16:37:05:816',7,0,1,0,0,0,0,2,0,0,0
337,'2018/06/18 16:37:05:866',7,0,1,0,0,0,0,2,0,0,0
338,'2018/06/18 16:37:05:916',7,0,1,0,0,0,0,2,0,0,0
339,'2018/06/18 16:37:05:966',7,0,1,0,0,0,0,2,0,0,0
340,'2018/06/18 16:37:06:016',7,0,1,0,0,0,0,2,0,0,0
341,'2018/06/18 16:37:06:066',7,0,1,0,0,0,0,2,0,0,0
342,'2018/06/18 16:37:06:116',7,0,1,0,0,0,0,2,0,0,0
343,'2018/06/18 16:37:06:166',7,0,1,0,0,0,0,2,0,0,0
344,'2018/06/18 16:37:06:216',7,0,1,0,0,0,0,2,0,0,0
345,'2018/06/18 16:37:06:266',7,0,1,0,0,0,0,2,0,0,0
346,'2018/06/18 16:37:06:316',7,0,1,0,0,0,0,2,0,0,0
347,'2018/06/18 16:37:06:366',7,0,1,0,0,0,0,2,0,0,0
348,'2018/06/18 16:37:06:416',7,0,1,0,0,0,0,2,0,0,0
349,'2018/06/18 16:37:06:466',7,0,1,0,0,0,0,2,0,0,0
350,'2018/06/18 16:37:06:516',7,0,1,0,0,0,0,2,0,0,0
